case,comment
source_1.bib/0000001147;source_1.bib/0000007017,The number-mismatch couldbe meaningful.
source_1.bib/0000001393;source_1.bib/0000005530,Titles differ significantly.
source_1.bib/0000002119;source_1.bib/0000006838,Titles differ at a critical position (after effect of ...).
source_1.bib/0000003264;source_1.bib/0000008827,Titles differ at a critical part.
source_1.bib/0000005316;source_1.bib/0000005530,Titles differ at a critical part.
source_1.bib/0000007725;source_1.bib/0000007870,Authors and journal are too different.
source_1.bib/0000007961;source_1.bib/0000003351,Titles are strangely different (maybe someone translated it independently).
source_1.bib/0000008376;source_1.bib/0000003543,Titles differ at a critical point.
source_1.bib/0000008637;source_1.bib/0000000528,Titles are strangely different (maybe someone translated it independently).
source_1.bib/0000008772;source_1.bib/0000008827,Titles differ at a critical point.
source_1.bib/0000009182;source_1.bib/0000009181,Number volume and pages and journal differ too significantly.
source_1.bib/0000004218;source_1.bib/0000007849,Clear title defect.
source_1.bib/0000007478;source_1.bib/0000004602,Titles differ at a critical point.
source_1.bib/0000007574;source_1.bib/0000000693,Titles differ at a critical point.
source_1.bib/0000009089;source_1.bib/0000002401,Titles differ significantly.
source_1.bib/0000004424;source_1.bib/0000007870,Significant differences in authors and container-titles.
source_1.bib/0000009045;source_1.bib/0000009020,Number and pages differ signficantly.
source_1.bib/0000000664;source_1.bib/0000006317,Title difference can be critical.
source_1.bib/0000003539;source_1.bib/0000007178,Title difference can be critical.
source_1.bib/0000006571;source_1.bib/0000003855,Title difference can be critical.
source_1.bib/0000007123;source_1.bib/0000007178,Title difference can be critical.
source_1.bib/0000008551;source_1.bib/0000003089,Title difference can be critical.
source_1.bib/0000001050;source_1.bib/0000007203,Title difference can be critical.
source_1.bib/0000000373;source_1.bib/0000007260,Title difference can be critical.
