cluster,ID,title,author,url,pages,number,volume,year,journal,doi,ENTRYTYPE,language,cited_by,__orig_index
1,000071,About This Issue,"Zwass, Vladimir",https://www.tandfonline.com/doi/abs/10.1080/07421222.1985.11517719,3--4,1,2,1985,Journal of Management Information Systems,10.1080/07421222.1985.11517719,article,,,70
1,001356,About This Issue,"Zwass, Vladimir",https://www.tandfonline.com/doi/abs/10.1080/07421222.1984.11517700,3--3,2,1,1984,Journal of Management Information Systems,10.1080/07421222.1984.11517700,article,,,1355
1,001361,About This Issue,"Zwass, Vladimir",https://www.tandfonline.com/doi/abs/10.1080/07421222.1985.11517711,3--4,4,1,1985,Journal of Management Information Systems,10.1080/07421222.1985.11517711,article,,,1360
2,000040,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K. and Weber, Bruce W.",https://www.tandfonline.com/doi/abs/10.1080/07421222.1996.11518120,5--7,2,13,1996,Journal of Management Information Systems,10.1080/07421222.1996.11518120,article,,,39
2,000856,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K. and Weber, Bruce W.",https://www.tandfonline.com/doi/abs/10.1080/07421222.1997.11518162,5--7,2,14,1997,Journal of Management Information Systems,10.1080/07421222.1997.11518162,article,,,855
2,001103,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K. and Weber, Bruce W.",https://www.tandfonline.com/doi/abs/10.1080/07421222.1999.11518242,5--7,2,16,1999,Journal of Management Information Systems,10.1080/07421222.1999.11518242,article,,,1102
3,000288,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K. and Row, Michael C.",https://www.tandfonline.com/doi/abs/10.1080/07421222.1994.11518037,5--7,2,11,1994,Journal of Management Information Systems,10.1080/07421222.1994.11518037,article,,,287
3,000606,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K. and Row, Michael C.",https://www.tandfonline.com/doi/abs/10.1080/07421222.1993.11517997,5--7,2,10,1993,Journal of Management Information Systems,10.1080/07421222.1993.11517997,article,,,605
3,000782,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K. and Row, Michael C.",https://www.tandfonline.com/doi/abs/10.1080/07421222.1995.11518078,5--7,2,12,1995,Journal of Management Information Systems,10.1080/07421222.1995.11518078,article,,,781
3,001158,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K. and Row, Michael C.",https://www.tandfonline.com/doi/abs/10.1080/07421222.1992.11517955,5--7,2,9,1992,Journal of Management Information Systems,10.1080/07421222.1992.11517955,article,,,1157
4,000036,Special Section: Information Technology and IT Organizational Impact,"Nunamaker, Jay F. and Sprague, Ralph H.",https://www.tandfonline.com/doi/abs/10.1080/07421222.1994.11518047,3--6,3,11,1994,Journal of Management Information Systems,10.1080/07421222.1994.11518047,article,,,35
4,000111,Special Issue: Information Technology and Its Organizational Impact,"Nunamaker, Jay F. and Sprague, Ralph H.",https://www.tandfonline.com/doi/abs/10.1080/07421222.1995.11518087,3--7,3,12,1995,Journal of Management Information Systems,10.1080/07421222.1995.11518087,article,,,110
