cluster,ID,author,title,year,doi
1,001793,"Wei, Xuan and Zhang, Zhu and Zhang, Mingyue and Chen, Weiyun and Zeng, Daniel Dajun",Combining Crowd and Machine Intelligence to Detect False News on Social Media,2022,10.25300/MISQ/2022/16526
1,001942,"Wei, Xuan and Zhang, Zhu and Zhang, Mingyue and Chen, Weiyun and Zeng, Daniel Dajun",Combining Crowd and Machine Intelligence to Detect False News on Social Media,2022,10.25300/MISQ/2022/16256
2,001207,"Turel, Ofir",Technology-Mediated Dangerous Behaviors as Foraging for Social-Hedonic Rewards: The Role of Implied Inequality,2021,10.25300/MISQ/2021/16353
2,001981,"Turel, Ofir",Technology-Mediated Dangerous Behaviors as Foraging for Social-Hedonic Rewards: The Role of Implied Inequality,2021,10.25300/MISQ/2021/16352
3,000533,"Bouayad, Lin and Padmanabhan, Balaji and Chari, Kaushal",Can Recommender Systems Reduce Healthcare Costs? The Role of Time Pressure and Cost Transparency in Prescription Choice,2020,10.25300/MISQ/2020/14435/
3,001995,"Bouayad, Lin and Padmanabhan, Balaji and Chari, Kaushal",Can Recommender Systems Reduce Healthcare Costs? The Role of Time Pressure and Cost Transparency in Prescription Choice,2020,10.25300/MISQ/2020/14435
4,000452,"Li, Zhuoxin and Wang, Gang and Wang, Harry (Jiannan)",Peer Effects in Competitive Environments: Field Experiments on Information Provision and Interventions,2021,10.25300/MISQ/2021/16085/
4,001934,"Li, Zhuoxin and Wang, Gang and Wang, Harry (Jiannan)",Peer Effects in Competitive Environments: Field Experiments on Information Provision and Interventions,2021,10.25300/MISQ/2021/16085
5,001380,Saunders,Editor's Comments,2006,10.2307/25148765
5,001450,Saunders,Editor's Comments,2006,10.2307/25148753
6,000601,Straub,Editor's Comments: Use,2012,10.2307/41703495
6,000978,Straub,Editor's Comments: Use,2012,10.2307/41703494
7,001050,"Feng, Haiyang and Jiang, Zhengrui and Li, Minqiang and Feng, Nan",First- or Second-Mover Advantage? The Case of IT-Enabled Platform Markets,2020,10.25300/MISQ/2020/15273)
7,001941,"Feng, Haiyang and Jiang, Zhengrui and Li, Minqiang and Feng, Nan",First- or Second-Mover Advantage? The Case of IT-Enabled Platform Markets,2020,10.25300/MISQ/2020/15273
8,001359,Sambamurthy and Subramani,Special Issue on Information Technologies and Knowledge Management,2005,10.2307/25148665
8,001393,Sambamurthy and Subramani,Special Issue on Information Technologies and Knowledge Management,2005,10.2307/25148676
9,001571,"Hukal, Philipp and Henfridsson, Ola and Shaikh, Maha and Parker, Geoffrey",Platform Signaling for Generating Platform Content,2020,10.25300/MISQ/2020/15190/
9,001920,"Hukal, Philipp and Henfridsson, Ola and Shaikh, Maha and Parker, Geoffrey",Platform Signaling for Generating Platform Content,2020,10.25300/MISQ/2020/15190
10,000892,"Benlian, Alexander",A Daily Field Investigation of Technology-Driven Spillovers from Work to Home,2020,10.25300/MISQ/2020/14911/
10,001971,"Benlian, Alexander",A Daily Field Investigation of Technology-Driven Spillovers from Work to Home,2020,10.25300/MISQ/2020/14911
